Outcome,Treatment,Control,Method,Est_Prop,Est_Imput,Neighbors,Caliper_Std,ATE,ATET
dif,LT,CPS,PSM,logit,,1.0,0.1,-2122.159242292012,-142.1544479790147
dif,LT,CPS,PSM,logit,,1.0,0.2,-2122.159242292012,-142.1544479790147
dif,LT,CPS,PSM,logit,,1.0,1.0,-2122.159242292012,-142.1544479790147
dif,LT,CPS,PSM,logit,,10.0,0.1,-2096.141401353078,-445.3958903846326
dif,LT,CPS,PSM,logit,,10.0,0.2,-2354.402093672058,-445.3958903846326
dif,LT,CPS,PSM,logit,,10.0,1.0,-2424.9622761506266,-445.3958903846326
dif,LT,CPS,IPTW,logit,,,,-2779.7619981920807,-593.6627319767308
dif,LT,CPS,DR,logit,RF,,,-1021.0423953051692,-105.36964785717808
dif,LT,CPS,DR,logit,GB,,,-944.0791501153017,-239.7121873070165
re78,LT,CPS,PSM,logit,,1.0,0.1,-889.8284482583996,-366.1893628013693
re78,LT,CPS,PSM,logit,,1.0,0.2,-889.8284482583996,-366.1893628013693
re78,LT,CPS,PSM,logit,,1.0,1.0,-889.8284482583996,-366.1893628013693
re78,LT,CPS,PSM,logit,,10.0,0.1,-841.6075479331101,-572.8252126487153
re78,LT,CPS,PSM,logit,,10.0,0.2,-1002.031836161092,-572.8252126487153
re78,LT,CPS,PSM,logit,,10.0,1.0,-1107.7506285872996,-572.8252126487153
re78,LT,CPS,IPTW,logit,,,,-1634.3904933805652,-498.0019794511201
re78,LT,CPS,DR,logit,RF,,,-711.2798094465836,-152.1677628220224
re78,LT,CPS,DR,logit,GB,,,-1301.1614856837157,-276.23569783811143
dif,LT,CPS,PSM,RF,,1.0,0.1,4241.322914968082,345.11663752278
dif,LT,CPS,PSM,RF,,1.0,0.2,4612.199512252671,600.3777034955147
dif,LT,CPS,PSM,RF,,1.0,1.0,6623.494431663419,1357.2592570279294
dif,LT,CPS,PSM,RF,,10.0,0.1,4287.875689638522,610.5242788720316
dif,LT,CPS,PSM,RF,,10.0,0.2,4664.086815691718,879.6996715578256
dif,LT,CPS,PSM,RF,,10.0,1.0,5095.14294031021,1257.6662958020822
dif,LT,CPS,IPTW,RF,,,,-982.6592909783996,1855.238449680038
dif,LT,CPS,DR,RF,RF,,,-220.78576573078325,-224.90051368832843
dif,LT,CPS,DR,RF,GB,,,-785.6263965034947,-407.0972069120165
re78,LT,CPS,PSM,RF,,1.0,0.1,3399.2954090080448,4786.366744033933
re78,LT,CPS,PSM,RF,,1.0,0.2,3190.354670083651,4717.643925397824
re78,LT,CPS,PSM,RF,,1.0,1.0,3266.5210480861947,4787.062806637351
re78,LT,CPS,PSM,RF,,10.0,0.1,3445.0811886650727,4990.532666736513
re78,LT,CPS,PSM,RF,,10.0,0.2,3241.689407222715,4947.108853279834
re78,LT,CPS,PSM,RF,,10.0,1.0,1737.8983764380114,4657.670235188825
re78,LT,CPS,IPTW,RF,,,,-4106.102040151255,4162.645597025415
re78,LT,CPS,DR,RF,RF,,,-178.55121286068527,-290.1166326466926
re78,LT,CPS,DR,RF,GB,,,-712.6238647067315,-454.73611818989735
dif,LT,CPS,PSM,GB,,1.0,0.1,-337.008420066483,-1019.9622335504603
dif,LT,CPS,PSM,GB,,1.0,0.2,-337.5523050089304,-999.3957025391715
dif,LT,CPS,PSM,GB,,1.0,1.0,-359.01985521994266,-1147.542430361819
dif,LT,CPS,PSM,GB,,10.0,0.1,-1289.2835172629225,-511.7245530338048
dif,LT,CPS,PSM,GB,,10.0,0.2,-2211.720832395351,-554.8103279652777
dif,LT,CPS,PSM,GB,,10.0,1.0,-3300.1796527476463,-511.1614045071859
dif,LT,CPS,IPTW,GB,,,,-2493.4388514612597,-392.70901126313055
dif,LT,CPS,DR,GB,RF,,,-801.5415215767922,-289.52239010791715
dif,LT,CPS,DR,GB,GB,,,-1475.448120743951,-549.1564708402548
re78,LT,CPS,PSM,GB,,1.0,0.1,-1146.0420031588926,-538.1074233019793
re78,LT,CPS,PSM,GB,,1.0,0.2,-1137.9157155062599,-502.6741569110325
re78,LT,CPS,PSM,GB,,1.0,1.0,-1139.9761471554714,-519.3798220624279
re78,LT,CPS,PSM,GB,,10.0,0.1,-1161.9807562143699,-14.938987021471052
re78,LT,CPS,PSM,GB,,10.0,0.2,-1194.545134949902,-64.0995868587813
re78,LT,CPS,PSM,GB,,10.0,1.0,-1301.7566968225608,72.05268882534251
re78,LT,CPS,IPTW,GB,,,,-1512.2814732909685,268.570409988861
re78,LT,CPS,DR,GB,RF,,,-894.7185354729312,-376.5044803802813
re78,LT,CPS,DR,GB,GB,,,-1414.4465954738482,-577.2776068341191
dif,LT,PSID,PSM,logit,,1.0,0.1,-3103.3689642428053,-693.000061555934
dif,LT,PSID,PSM,logit,,1.0,0.2,-3094.9996749007187,-669.7710597498888
dif,LT,PSID,PSM,logit,,1.0,1.0,-3094.9996749007187,-669.7710597498888
dif,LT,PSID,PSM,logit,,10.0,0.1,-3534.3273023382244,-418.8069470565808
dif,LT,PSID,PSM,logit,,10.0,0.2,-4016.0392542231048,-423.59990200122746
dif,LT,PSID,PSM,logit,,10.0,1.0,-3812.9465611554288,-547.026661531618
dif,LT,PSID,IPTW,logit,,,,-5954.985771311848,-269.61185020198144
dif,LT,PSID,DR,logit,RF,,,-2920.454053718476,-1194.0896367366136
dif,LT,PSID,DR,logit,GB,,,-5534.111037956353,-385.6318013561482
re78,LT,PSID,PSM,logit,,1.0,0.1,-1596.7992785567062,-1067.907741403417
re78,LT,PSID,PSM,logit,,1.0,0.2,-1589.7272955853007,-1043.1506745215177
re78,LT,PSID,PSM,logit,,1.0,1.0,-1589.7272955853007,-1043.1506745215177
re78,LT,PSID,PSM,logit,,10.0,0.1,-2323.6278764382832,-872.240184884743
re78,LT,PSID,PSM,logit,,10.0,0.2,-2660.5227836246977,-909.9846194093751
re78,LT,PSID,PSM,logit,,10.0,1.0,-2926.59143743515,-1096.3608854747954
re78,LT,PSID,IPTW,logit,,,,-2196.5064716166767,-642.3598156624187
re78,LT,PSID,DR,logit,RF,,,-2787.1980160049357,-1354.539848553549
re78,LT,PSID,DR,logit,GB,,,-3498.4688967686643,-827.7319749861488
dif,LT,PSID,PSM,RF,,1.0,0.1,-2270.3606673436807,-3348.7703546541875
dif,LT,PSID,PSM,RF,,1.0,0.2,-1283.5159174455916,-2947.98585068884
dif,LT,PSID,PSM,RF,,1.0,1.0,4266.720128659849,687.3552899277001
dif,LT,PSID,PSM,RF,,10.0,0.1,-2109.9515082862076,-3187.9078103894385
dif,LT,PSID,PSM,RF,,10.0,0.2,-1834.4015087543582,-3222.3022328066636
dif,LT,PSID,PSM,RF,,10.0,1.0,755.7565537849616,-2446.9164647999164
dif,LT,PSID,IPTW,RF,,,,-1875.629565654682,1669.013934086347
dif,LT,PSID,DR,RF,RF,,,-2571.618158672989,-1738.394703716419
dif,LT,PSID,DR,RF,GB,,,-1226.8345771676613,-835.3375208065098
re78,LT,PSID,PSM,RF,,1.0,0.1,1712.2515526088416,2481.4171670218493
re78,LT,PSID,PSM,RF,,1.0,0.2,1567.7264891706195,2764.7341058904476
re78,LT,PSID,PSM,RF,,1.0,1.0,2612.047243816862,4470.474870246753
re78,LT,PSID,PSM,RF,,10.0,0.1,1984.1876935990424,2607.768315965884
re78,LT,PSID,PSM,RF,,10.0,0.2,1162.8023917932135,2458.352372775076
re78,LT,PSID,PSM,RF,,10.0,1.0,-406.3406408050412,1314.7498686696733
re78,LT,PSID,IPTW,RF,,,,-5656.049847993431,4209.871314517059
re78,LT,PSID,DR,RF,RF,,,-3322.9866926622058,-2014.382119820411
re78,LT,PSID,DR,RF,GB,,,-2817.074464421164,-2066.9340115531327
dif,LT,PSID,PSM,GB,,1.0,0.1,-5028.442448636529,-959.5629423274551
dif,LT,PSID,PSM,GB,,1.0,0.2,-5450.444965489988,-915.3143875882087
dif,LT,PSID,PSM,GB,,1.0,1.0,-5313.204986524714,-367.73611889463484
dif,LT,PSID,PSM,GB,,10.0,0.1,-4116.378483714952,-1915.6529435131843
dif,LT,PSID,PSM,GB,,10.0,0.2,-3684.6031504189286,-1914.7818622878872
dif,LT,PSID,PSM,GB,,10.0,1.0,-4611.129755349884,-1676.157565256242
dif,LT,PSID,IPTW,GB,,,,-3143.190226760016,-261.6399831973418
dif,LT,PSID,DR,GB,RF,,,-2662.2814031512157,-1377.5939728981316
dif,LT,PSID,DR,GB,GB,,,-2364.5727724443973,-1061.3962070646735
re78,LT,PSID,PSM,GB,,1.0,0.1,-3734.8435994851006,-251.6009458793226
re78,LT,PSID,PSM,GB,,1.0,0.2,-4130.937113829162,-206.19660558006316
re78,LT,PSID,PSM,GB,,1.0,1.0,-4224.317797462696,350.07973595821494
re78,LT,PSID,PSM,GB,,10.0,0.1,-4174.422516037859,-1283.3425213549165
re78,LT,PSID,PSM,GB,,10.0,0.2,-4482.415106618694,-1366.7287436546947
re78,LT,PSID,PSM,GB,,10.0,1.0,-5334.5857135898905,-1118.5665541831893
re78,LT,PSID,IPTW,GB,,,,-8222.270950888545,343.7465688041827
re78,LT,PSID,DR,GB,RF,,,-4138.1743269576655,-1691.3979231217206
re78,LT,PSID,DR,GB,GB,,,-3901.7514341116607,-1523.3309668533514
dif,DWT,CPS,PSM,logit,,1.0,0.1,582.9270108112802,650.0866861343384
dif,DWT,CPS,PSM,logit,,1.0,0.2,998.837388044637,650.0866861343384
dif,DWT,CPS,PSM,logit,,1.0,1.0,1294.610131255042,650.0866861343384
dif,DWT,CPS,PSM,logit,,10.0,0.1,862.2294085220067,1554.425065669095
dif,DWT,CPS,PSM,logit,,10.0,0.2,892.0148499982739,1554.425065669095
dif,DWT,CPS,PSM,logit,,10.0,1.0,713.8216378512107,1554.425065669095
dif,DWT,CPS,IPTW,logit,,,,-192.71490058649493,1215.9228112282774
dif,DWT,CPS,DR,logit,RF,,,884.1631144754688,1426.718596371318
dif,DWT,CPS,DR,logit,GB,,,708.2018240462185,1284.5539520219788
re78,DWT,CPS,PSM,logit,,1.0,0.1,746.8412826512907,758.5818885435541
re78,DWT,CPS,PSM,logit,,1.0,0.2,995.1474275937089,758.5818885435541
re78,DWT,CPS,PSM,logit,,1.0,1.0,1199.540078699082,758.5818885435541
re78,DWT,CPS,PSM,logit,,10.0,0.1,360.9387776246076,1621.4247116203762
re78,DWT,CPS,PSM,logit,,10.0,0.2,452.1026833864224,1621.4247116203762
re78,DWT,CPS,PSM,logit,,10.0,1.0,21.622359633531204,1621.4247116203762
re78,DWT,CPS,IPTW,logit,,,,-1008.0582396031101,903.53810231687
re78,DWT,CPS,DR,logit,RF,,,1058.3576015592428,1383.2956562141185
re78,DWT,CPS,DR,logit,GB,,,507.52450113089213,1272.931510406515
dif,DWT,CPS,PSM,RF,,1.0,0.1,4157.113378834972,3178.919208364284
dif,DWT,CPS,PSM,RF,,1.0,0.2,4572.784612718867,3308.448714715463
dif,DWT,CPS,PSM,RF,,1.0,1.0,6855.947861512289,3712.777020706669
dif,DWT,CPS,PSM,RF,,10.0,0.1,4211.188080786075,3280.189069911927
dif,DWT,CPS,PSM,RF,,10.0,0.2,4450.822741705908,3245.9435282136988
dif,DWT,CPS,PSM,RF,,10.0,1.0,5068.02782675221,2881.3977983946334
dif,DWT,CPS,IPTW,RF,,,,-704.0275347704796,3486.4745840140995
dif,DWT,CPS,DR,RF,RF,,,1416.8883211164457,1298.625217397228
dif,DWT,CPS,DR,RF,GB,,,1189.0052175357496,1111.4563366710563
re78,DWT,CPS,PSM,RF,,1.0,0.1,3944.701062251952,5174.646639073148
re78,DWT,CPS,PSM,RF,,1.0,0.2,4016.3144856026156,5308.881402051007
re78,DWT,CPS,PSM,RF,,1.0,1.0,4430.530163962309,5541.359168563351
re78,DWT,CPS,PSM,RF,,10.0,0.1,4023.427076427237,5254.335495702917
re78,DWT,CPS,PSM,RF,,10.0,0.2,3914.0328058404543,5227.5927483059095
re78,DWT,CPS,PSM,RF,,10.0,1.0,2652.1217837186314,4696.892111010797
re78,DWT,CPS,IPTW,RF,,,,-2984.1658103781097,4596.7756749160235
re78,DWT,CPS,DR,RF,RF,,,1382.484538654402,1224.3638540677423
re78,DWT,CPS,DR,RF,GB,,,1046.9998673147802,1098.4031760758608
dif,DWT,CPS,PSM,GB,,1.0,0.1,2577.7799594080016,263.1026563926561
dif,DWT,CPS,PSM,GB,,1.0,0.2,2505.060636968788,227.88596510045667
dif,DWT,CPS,PSM,GB,,1.0,1.0,2502.7206396994648,223.29016537136502
dif,DWT,CPS,PSM,GB,,10.0,0.1,153.22121890184016,1144.790506299714
dif,DWT,CPS,PSM,GB,,10.0,0.2,603.802919943962,1105.4396657932516
dif,DWT,CPS,PSM,GB,,10.0,1.0,287.6992639401782,1141.1551886820664
dif,DWT,CPS,IPTW,GB,,,,-247.00605662478296,1542.335936857783
dif,DWT,CPS,DR,GB,RF,,,533.5796974130693,1172.6960244814206
dif,DWT,CPS,DR,GB,GB,,,-138.8086391142062,999.0101087743262
re78,DWT,CPS,PSM,GB,,1.0,0.1,-138.8968983329113,823.1374044023322
re78,DWT,CPS,PSM,GB,,1.0,0.2,-27.182625672139167,801.3117210836972
re78,DWT,CPS,PSM,GB,,1.0,1.0,-26.734477618707757,799.8972851491114
re78,DWT,CPS,PSM,GB,,10.0,0.1,-547.3033589033917,1441.3236736071904
re78,DWT,CPS,PSM,GB,,10.0,0.2,-215.55563614018897,1414.2415304442031
re78,DWT,CPS,PSM,GB,,10.0,1.0,-222.00166343225928,1408.6196690141123
re78,DWT,CPS,IPTW,GB,,,,174.41165809159847,1767.9553922406317
re78,DWT,CPS,DR,GB,RF,,,622.4419410572286,1106.3532567349641
re78,DWT,CPS,DR,GB,GB,,,-290.9848014045932,946.7280903574432
dif,DWT,PSID,PSM,logit,,1.0,0.1,-286.3338032647183,776.0362237294515
dif,DWT,PSID,PSM,logit,,1.0,0.2,-637.3460743337104,776.0362237294515
dif,DWT,PSID,PSM,logit,,1.0,1.0,-461.85566929856395,776.0362237294515
dif,DWT,PSID,PSM,logit,,10.0,0.1,-342.21175291865933,283.4894216273412
dif,DWT,PSID,PSM,logit,,10.0,0.2,-438.4120898031661,253.01612520059797
dif,DWT,PSID,PSM,logit,,10.0,1.0,-881.656490570424,-164.1367397901755
dif,DWT,PSID,IPTW,logit,,,,-1076.6288148555975,775.5739247685862
dif,DWT,PSID,DR,logit,RF,,,-315.36554736082684,-128.2015750731631
dif,DWT,PSID,DR,logit,GB,,,-301.9721781616926,734.3283675338366
re78,DWT,PSID,PSM,logit,,1.0,0.1,-420.1691749723334,174.3463873969184
re78,DWT,PSID,PSM,logit,,1.0,0.2,-587.2362481375505,174.3463873969184
re78,DWT,PSID,PSM,logit,,1.0,1.0,-129.76162052938383,174.3463873969184
re78,DWT,PSID,PSM,logit,,10.0,0.1,-632.2501058156629,-238.98547528544444
re78,DWT,PSID,PSM,logit,,10.0,0.2,-805.9312554422212,-198.1769839889958
re78,DWT,PSID,PSM,logit,,10.0,1.0,-1979.5642856142276,-653.1237795172802
re78,DWT,PSID,IPTW,logit,,,,-2806.56165580301,261.0437078975018
re78,DWT,PSID,DR,logit,RF,,,-608.5962439802911,-406.5164896043061
re78,DWT,PSID,DR,logit,GB,,,-380.0599134229812,553.1233840194913
dif,DWT,PSID,PSM,RF,,1.0,0.1,4.125526577818562,-455.7277526855469
dif,DWT,PSID,PSM,RF,,1.0,0.2,785.6919366244613,-77.7836484555845
dif,DWT,PSID,PSM,RF,,1.0,1.0,4965.664213613498,3309.788784338993
dif,DWT,PSID,PSM,RF,,10.0,0.1,-31.898811898823624,-814.9306047138414
dif,DWT,PSID,PSM,RF,,10.0,0.2,-587.9530118832647,-1507.5840379503045
dif,DWT,PSID,PSM,RF,,10.0,1.0,1112.3846213526951,146.53398636045188
dif,DWT,PSID,IPTW,RF,,,,-1320.8866618993748,3507.766844094067
dif,DWT,PSID,DR,RF,RF,,,-685.8044623250765,-176.45229791915028
dif,DWT,PSID,DR,RF,GB,,,-197.86522096339044,1080.2097539170616
re78,DWT,PSID,PSM,RF,,1.0,0.1,2129.3860756369195,2588.3014759264493
re78,DWT,PSID,PSM,RF,,1.0,0.2,2516.844917165822,2886.90736144266
re78,DWT,PSID,PSM,RF,,1.0,1.0,3474.286324857934,5086.305245453456
re78,DWT,PSID,PSM,RF,,10.0,0.1,2202.9018733255225,2211.640622851723
re78,DWT,PSID,PSM,RF,,10.0,0.2,1431.4985959327084,1440.7266252870916
re78,DWT,PSID,PSM,RF,,10.0,1.0,73.240660135481,1911.8389744681917
re78,DWT,PSID,IPTW,RF,,,,-4958.6269754168015,4708.800994995227
re78,DWT,PSID,DR,RF,RF,,,-1674.5697326769748,-738.3684348284216
re78,DWT,PSID,DR,RF,GB,,,-664.4655615253095,-673.4959664249634
dif,DWT,PSID,PSM,GB,,1.0,0.1,-58.6349596155402,-5464.929831404712
dif,DWT,PSID,PSM,GB,,1.0,0.2,792.901028380102,-5307.8526003478
dif,DWT,PSID,PSM,GB,,1.0,1.0,-964.8127779466861,-5273.373154717523
dif,DWT,PSID,PSM,GB,,10.0,0.1,-1708.640502942363,-1122.9217783076112
dif,DWT,PSID,PSM,GB,,10.0,0.2,-1310.0243315259713,-961.5980517514199
dif,DWT,PSID,PSM,GB,,10.0,1.0,-1359.49424367909,-1657.2194810279655
dif,DWT,PSID,IPTW,GB,,,,-1676.9299916122648,2031.5265288097385
dif,DWT,PSID,DR,GB,RF,,,606.3049216589567,243.31554425851508
dif,DWT,PSID,DR,GB,GB,,,-83.2312290938367,1019.9961220902378
re78,DWT,PSID,PSM,GB,,1.0,0.1,-2925.6375903292187,-5599.025584015399
re78,DWT,PSID,PSM,GB,,1.0,0.2,-2157.4669841955424,-5455.552577451279
re78,DWT,PSID,PSM,GB,,1.0,1.0,-8252.52684322179,-5411.243633703283
re78,DWT,PSID,PSM,GB,,10.0,0.1,-3102.661622339335,-894.6661537493555
re78,DWT,PSID,PSM,GB,,10.0,0.2,-2452.2897897097446,-717.4011661870009
re78,DWT,PSID,PSM,GB,,10.0,1.0,-10312.56627466591,-1398.9651428717505
re78,DWT,PSID,IPTW,GB,,,,-18634.40401599771,-4547.2216117192775
re78,DWT,PSID,DR,GB,RF,,,-4776.742433925842,-641.5469873842795
re78,DWT,PSID,DR,GB,GB,,,-3230.463010757447,-667.3615813918967
